names phi theta dt Tspan wn log10_A_dm log10_A_red log10_A_sv g_dm g_red g_sv
pulsar_1 4.326997633431704 0.6999521828860056 894493.6927018951 10.258544967410298 0.20408565669778697 -15.306603858945058 -44.235269639637295 -44.51337767887058 0.599346684128942 4.869880790200511 1.19240052072064
pulsar_2 2.0211063717514386 1.5939657279630783 865190.8882759615 9.865665716798745 0.13863691251449903 -16.7542760266762 -16.902338816913115 -45.22355143431375 2.3267203032541075 4.905621850065396 4.65431918422153
pulsar_3 2.745955149931118 1.2408741939391787 848946.7581341502 10.102424713380033 0.08021340993740952 -13.264032340560767 -43.66844241646292 -43.32902764480784 4.277538520383495 2.750315957392252 4.696909907829114
pulsar_4 3.724574621604971 2.2331000468778206 840229.1499729373 9.656403811461137 0.12363391256248782 -44.49638831419436 -14.632899355329927 -46.06287548512046 1.507305692424831 4.344958191205336 0.38263807008218315
pulsar_5 1.2141763790272857 1.9840747960140999 886693.4508653164 9.956283005136235 0.45913032324114383 -16.469073343347866 -46.48480264423941 -45.65079112586684 1.0635427435066478 4.668409113880375 2.9990904835380867
pulsar_6 5.664037409632263 0.4826769576870922 910141.8977387429 9.715397923078203 0.08692592953468015 -44.45459217545292 -13.30194147915068 -14.447041857440702 2.8109353133027803 0.5036532814198189 3.196748530518825
pulsar_7 2.134444838200471 0.8426797067760146 883251.5517821979 10.101329998835817 0.13513452298199666 -46.75555856257423 -14.745085583093653 -44.834647763947544 0.7089928551790075 1.8026389680184272 0.27962277768700644
pulsar_8 5.37732071482593 0.36304076450358314 819338.7071303995 10.133742543591731 0.23377984026718115 -45.81314850507894 -13.950911271903735 -45.75725270505515 0.43965077038557876 3.4126158399453055 4.631663104582868
pulsar_9 4.905541158410713 2.249885344025045 876387.7397709326 9.810397862348115 0.036209585840159056 -13.90390678601015 -45.23472188260723 -45.40768098692974 1.1956121000042168 4.8855881563395895 2.265880473107513
pulsar_10 1.7945506798048068 1.9279643734853766 809602.2750065024 9.968774846764367 0.048044985110660535 -16.35223026126649 -43.40971005732165 -45.657401232729086 2.7258887091579886 4.7394056075715465 2.3436181728932386
pulsar_11 5.701257922844604 1.0583068571706813 811488.905034768 9.877314510702817 0.15077806336416646 -16.628409829862946 -46.60630912897053 -44.34637553496997 0.404752313523704 1.1389005191556274 4.095162603785942
pulsar_12 2.057545009316769 1.6723250916893526 865191.7694657466 10.025038531856545 0.12190568257586973 -44.2662741517274 -43.97461397392651 -45.216511397668775 2.720940284980051 0.7619066206430568 2.408296335999796
pulsar_13 2.640423138020731 0.1308936162326861 875976.2444539827 9.905231936526729 0.13012477887140642 -43.38738932991712 -13.225544396221464 -45.59267585801962 1.3339121399201541 2.7188522828981756 2.7033268651533673
pulsar_14 0.9070305786106011 0.8932113821106623 879223.8479796887 9.78463860270529 0.10019486000360847 -46.81923157070358 -43.467274055412375 -43.70825773337879 1.0052073122416643 1.2933939161118884 2.7999450631494898
pulsar_15 2.475820951204383 1.4294092472703372 855848.6199759418 10.292748190724508 0.12445619188390536 -43.962163592652786 -44.13816773684337 -46.000182590221115 2.096376585779706 0.5497112322396811 3.243928817091136
