names phi theta dt Tspan wn log10_A_dm log10_A_red log10_A_sv g_dm g_red g_sv
pulsar_1 2.8138633765118968 1.1088506777894436 805949.4359804086 10.403909119273258 0.4066727644345876 -14.218732001129913 -43.73371151407001 -46.713257216444504 3.628540003679366 0.5637817773918233 4.406626407947633
pulsar_2 5.784484582207221 0.7365010168814429 872577.8422210813 10.218530329424203 0.04336496237699079 -44.880228405245795 -43.33739753329213 -43.185480565967495 1.3616933210973476 4.3455922574309005 2.991298347633771
pulsar_3 3.1320896215499285 1.7087089442505226 870272.6621003047 10.047248104488132 0.20933740244995225 -16.604943454589264 -13.945589504146133 -45.03874857517347 2.0072982922537124 1.1737223574154931 3.3353053624712
pulsar_4 1.862366626575458 2.3754346454899458 826893.1057032968 10.202010409218834 0.025026407095111947 -14.434297476747158 -43.34130562125942 -44.28793118773934 0.3450941527136354 1.34351420703058 1.4760858622888453
pulsar_5 0.08565704262703032 0.41359319861512306 869375.8611521196 10.26864222125295 0.04020439957546492 -13.845685909264414 -43.14587316976119 -43.71363234042724 3.458816419541392 2.67542436182493 3.1140783600539006
pulsar_6 1.7556875065577093 0.6643627535163665 896883.4393618549 10.334026181751453 0.17627002293300867 -13.543597363775312 -43.49387613336871 -43.79635476502021 1.5549095064597078 2.6128018276048848 2.935436337582311
pulsar_7 4.411127255515063 1.0424410090517957 820737.6397703706 10.173960736158762 0.040221968875112195 -46.32844768384126 -14.14737477715867 -45.805151121972685 3.268178267054154 2.349544150882185 2.1804029105047134
pulsar_8 4.018111830091002 1.44096341110822 860775.4677766309 9.87958355664017 0.03575096488148254 -13.343186406108872 -13.658581668943029 -43.621494840246356 1.6313085692091394 1.7147682950038565 4.766360384003168
pulsar_9 5.991712983358863 0.3914336731455745 888379.3778038371 9.68042012404476 0.07940196391454864 -13.669193640800943 -43.62990529566449 -45.32818785508223 0.9720552230837983 1.2287315993505614 4.119854666334949
pulsar_10 0.11436417436183874 1.4341103450243242 861830.8495086766 10.172028331765326 0.11049195124683554 -16.20232500667125 -43.51461868539313 -46.61591291451107 0.7553527072885168 1.2364293099435009 1.567510488498453
pulsar_11 6.155924792523342 2.795789330183234 874284.3693056351 10.205362892858096 0.06479882331236028 -15.700217803137857 -43.68342699364129 -44.33562216834378 1.570905473229213 1.5975266622681423 1.1942772923180938
pulsar_12 6.236833893242953 1.3464599495888034 818447.5105806355 9.607410695384985 0.05690040067361268 -13.998692130900714 -13.856182319569609 -44.3608062219448 1.5642902954123852 4.083400474797186 0.3138128417997305
pulsar_13 0.2287527418077091 1.1390729372061081 884473.2557187664 10.36728213049765 0.08846513662414905 -44.290516252926565 -16.990718413448658 -46.79414207339203 1.0818492120071985 4.370719226204531 1.263872934536642
pulsar_14 4.263114234143442 2.3246595975433273 839161.8590186919 9.834821745393487 0.21829505585859885 -44.27212531949311 -44.09955481691234 -45.677581894568405 4.769519659494276 3.7217266562789417 2.669071086442829
pulsar_15 4.802599647415066 1.3362865618364488 854922.475289896 10.1298751323899 0.155820636388268 -45.46869900659491 -45.89086627244375 -44.2925884708576 0.9824593919505962 0.43870043063229197 0.6078034974140235
pulsar_16 4.162849114176026 1.43291493223458 852725.014287009 9.797918029966253 0.16050445226033658 -16.323917601996285 -16.571233028834286 -46.004778722050965 1.9432989239442882 1.674035739282578 4.049885943627135
pulsar_17 0.11970363925768897 2.910336059032122 845344.1140771613 9.789359926221366 0.04679528030677583 -15.981849442253965 -44.867691173223726 -45.32352618193257 2.8656795007822655 3.313448448954397 0.48019421491567915
pulsar_18 4.653259940122032 2.079845370856749 832161.8909999424 10.042804929929314 0.561676442476243 -43.60874023353985 -45.50000560933992 -44.49570741689985 1.484550007693004 2.187581701387386 3.6454688493559515
pulsar_19 1.6652201813813952 2.674832672659813 912162.485391877 9.835261810145653 0.21339323637337063 -16.305990428251853 -45.299719391056996 -14.117857684034714 0.8532860819181045 4.757692862058257 3.3048112537845227
pulsar_20 1.3639588188663212 1.9853699964024607 850650.303226938 10.204201633772863 0.1678935544127995 -16.719893285850652 -44.382014345465194 -45.87385210732123 1.2440447842990232 0.8917044877918583 4.311402385252041
pulsar_21 0.8615496869313236 1.4951649109187808 967667.2273485501 10.171473790554929 0.1538886321333302 -43.48257576780569 -45.92681430811735 -44.149921210205974 3.76613243717895 1.7197165091876028 3.264169992853804
pulsar_22 0.3210045685687107 0.9472436930211923 849970.3344153678 10.336890466208983 0.04313450896835636 -46.530248003270856 -14.027299720445798 -46.38113660710444 2.054707243119192 2.996827979645201 4.081194872489617
pulsar_23 2.5896052641501717 0.2756701566595642 872411.8641243217 10.10459913844865 0.1716066662718849 -44.10996585489916 -46.8857788962408 -46.41684321719462 2.156870122044889 3.7687398205490394 4.973046170881935
pulsar_24 4.871136796952 1.255789959295581 869273.8295573123 9.928851393133979 0.03055615159915235 -13.307566515869643 -46.85389689729997 -45.798079184898214 3.076197568323587 0.2749598864978243 1.7827101240823964
pulsar_25 1.5136102768537125 1.081112030917054 894933.4438927114 10.25741747705323 0.08820494698519991 -14.368375339192884 -45.84935942043012 -44.559395670694386 3.5874287990247415 2.5687881181494263 3.4031400051180536
pulsar_26 2.8532643216278726 1.097119388296416 859013.793380378 10.050603036427871 0.06304749169741289 -44.83059626179514 -45.720271361745624 -43.36131293868189 3.6136897025333874 2.1849508876648973 1.9819702698741373
pulsar_27 4.966274450119851 2.60591871410533 802739.7999295137 10.26880047409576 0.04622925247933004 -14.37194705047463 -13.994228846508497 -43.497026912054174 0.8113260680131186 3.503740522138529 2.1022147972294496
pulsar_28 1.4603816928092368 1.7337937582990661 874206.6371833865 10.515693892860972 0.12024274653292893 -44.23629109376435 -15.432508216462125 -46.27990284942622 1.9601534175688955 4.876441294277108 2.181146076569807
pulsar_29 5.046546208173057 0.5967059675594405 851486.3863119172 9.97346258950042 0.06871626220572659 -43.363065192738134 -45.62779402681204 -45.13845011728135 0.30632272150148043 4.950811338094823 1.4213203639710645
pulsar_30 3.5068220930760514 1.326453995309781 837536.2789268988 9.719930874778568 0.39163824149986143 -15.766347200942397 -45.358876776427685 -43.92385507003918 0.8205803811928052 3.9791334923328434 0.7723401462849334
