name phi theta ntoas Tspan wn log10_A_red g_red log10_A_dm g_dm log10_A_sv g_sv dt
J0030+0451 0.1328943220012754 1.4859553199593456 3347 9.780144583424358 2.903526023585292 -16.08070751983491 3.013462910089084 -30.0 2.0 -30.0 2.0 92213.29271164403
J0613-0200 1.6307175297105974 1.60593186732583 1750 10.07260189881838 1.2507867076515882 -30.0 2.0 -15.223850381906084 2.398284366683263 -30.0 2.0 181638.3666755148
J0751+1807 2.055790988965522 1.254414259697017 2469 10.083313253842872 1.803989964505764 -30.0 2.0 -13.509215658917626 2.92461315073483 -30.0 2.0 128880.18077742885
J0900-3144 2.359390849401633 2.124797258553989 5525 9.856715452136124 2.804903839762076 -12.725734105619718 1.1628947370180036 -13.398267415622826 3.6460531101141176 -30.0 2.0 56299.41783752596
J1012+5307 2.6727853999923985 0.6437244541414303 4188 10.075726091068567 1.791020293838698 -12.9943331913801 1.2017340240287244 -14.21150926442922 3.762363298565475 -30.0 2.0 75923.05006960493
J1022+1001 2.718204615959016 1.3957171147059513 1804 10.083431403005935 2.286794057515262 -15.991655669298993 3.1188187131206924 -13.089962150384508 0.2652754960735617 -30.0 2.0 176390.73993542133
J1024-0719 2.725526187516606 1.6985904673930874 2112 10.075244775207958 2.085098070156542 -30.0 2.0 -13.482403607615264 2.5210597254309945 -30.0 2.0 150544.7653968289
J1455-3330 3.90866267037666 2.155706481828668 2433 9.266840231172768 6.488857132410024 -14.031823844824205 1.898450146655416 -30.0 2.0 -30.0 2.0 120196.9738098059
J1600-3053 4.192564722403649 2.110051554110564 2598 9.906022073985335 0.428437989305933 -30.0 2.0 -14.150236182856974 4.937621036166584 -13.461943375640349 0.781455790423949 120327.28337259415
J1640+2224 4.364540849426527 1.1797997100313653 1546 10.217833858118416 3.603799867352852 -30.0 2.0 -13.212737901358718 0.3572933177514416 -30.0 2.0 208570.7074779804
J1713+0747 4.510914948306156 1.4347697643362078 4001 10.077818592023307 0.340661592052551 -15.722599545026789 2.4223083699594903 -13.815958646911408 1.381308181146233 -30.0 2.0 79488.06998241309
J1730-2304 4.583065047587531 1.9735368294598423 1163 9.93057684757702 1.4410426214611654 -30.0 2.0 -13.683248400918597 2.7320916851171155 -30.0 2.0 269462.74456156197
J1738+0333 4.6203204160666935 1.5087844303268336 749 9.977076057736571 4.147612064530437 -30.0 2.0 -12.833882873204583 1.7534916379625771 -30.0 2.0 420363.91909162566
J1744-1134 4.644714387537388 1.7729379089126502 1541 9.747237450298009 0.9943324484583174 -30.0 2.0 -13.392573965480391 0.9011906759066576 -30.0 2.0 199610.266425389
J1751-2857 4.675496591006911 2.0762946516768115 305 9.428159522823677 2.587694589384391 -30.0 2.0 -12.620186990914672 0.9581911292522444 -30.0 2.0 975508.4818277393
J1801-1417 4.720466463952119 1.820254935154675 384 9.744458180819064 3.72782625077601 -30.0 2.0 -12.461349433151826 1.7172497613883109 -30.0 2.0 800811.7538724368
J1804-2717 4.731379111203747 2.047132239341699 648 9.54279645936276 4.713688119010799 -30.0 2.0 -12.79772046072023 0.5241475217927144 -30.0 2.0 464734.18757096643
J1843-1113 4.903012528836273 1.766714713771632 736 10.080645938601412 1.1356928602080387 -30.0 2.0 -12.709905487625432 2.388829568922989 -30.0 2.0 432229.6090652282
J1857+0943 4.963744798778114 1.401125078283045 1156 9.97694249622776 1.6877659783078482 -30.0 2.0 -14.227753404025082 5.020595824325993 -30.0 2.0 272360.17345930554
J1909-3744 5.016907743538374 2.2294376057984127 2289 9.043027772548236 0.2827618776525469 -16.08655817510687 3.4504035205179333 -13.517974842855397 1.6901975067161237 -30.0 2.0 124672.89350588387
J1910+1256 5.018527110116595 1.3449435142981656 460 9.913931285933064 2.230142214886748 -30.0 2.0 -13.783870939964125 4.503619322900447 -30.0 2.0 680130.1694542636
J1911+1347 5.0261995209160615 1.3300650808618597 811 9.920863481301978 1.1697406471344938 -30.0 2.0 -14.1507475485588 4.28330846045435 -30.0 2.0 386040.24833234935
J1918-0642 5.056221251509218 1.68790253691134 1138 10.083282688557702 1.7960425483147822 -30.0 2.0 -14.21362826858356 4.708581962457921 -30.0 2.0 279617.0490091639
J2124-3358 5.605695602587932 2.16384427217953 1601 9.681922497740173 3.4537776914470424 -30.0 2.0 -13.16457051383416 1.1511358904171942 -30.0 2.0 190842.1220578921
J2322+2057 6.119003288634303 1.2051368795421893 674 9.684628420081353 9.99267302538103 -30.0 2.0 -30.0 2.0 -30.0 2.0 453447.5220023135
