# Temperature_MeV relativistic_dofs_MeV entropy_dofs_MeV
0.00199526 3.38308 3.93094
0.00200572 3.38308 3.93094
0.00201623 3.38308 3.93094
0.0020268 3.38308 3.93094
0.00203742 3.38308 3.93094
0.0020481 3.38308 3.93094
0.00205883 3.38308 3.93094
0.00206962 3.38308 3.93094
0.00208047 3.38308 3.93094
0.00209137 3.38308 3.93094
0.00210233 3.38308 3.93094
0.00211335 3.38308 3.93094
0.00212442 3.38308 3.93094
0.00213556 3.38308 3.93094
0.00214675 3.38308 3.93094
0.002158 3.38308 3.93094
0.00216931 3.38308 3.93094
0.00218068 3.38308 3.93094
0.00219211 3.38308 3.93094
0.0022036 3.38308 3.93094
0.00221515 3.38308 3.93094
0.00222675 3.38308 3.93094
0.00223842 3.38308 3.93094
0.00225016 3.38308 3.93094
0.00226195 3.38308 3.93094
0.0022738 3.38308 3.93094
0.00228572 3.38308 3.93094
0.0022977 3.38308 3.93094
0.00230974 3.38308 3.93094
0.00232185 3.38308 3.93094
0.00233401 3.38308 3.93094
0.00234625 3.38308 3.93094
0.00235854 3.38308 3.93094
0.0023709 3.38308 3.93094
0.00238333 3.38308 3.93094
0.00239582 3.38308 3.93094
0.00240837 3.38308 3.93094
0.002421 3.38308 3.93094
0.00243368 3.38308 3.93094
0.00244644 3.38308 3.93094
0.00245926 3.38308 3.93094
0.00247215 3.38308 3.93094
0.00248511 3.38308 3.93094
0.00249813 3.38308 3.93094
0.00251122 3.38308 3.93094
0.00252438 3.38308 3.93094
0.00253761 3.38308 3.93094
0.00255091 3.38308 3.93094
0.00256428 3.38308 3.93094
0.00257772 3.38308 3.93094
0.00259123 3.38308 3.93094
0.00260481 3.38308 3.93094
0.00261846 3.38308 3.93094
0.00263218 3.38308 3.93094
0.00264598 3.38308 3.93094
0.00265984 3.38308 3.93094
0.00267378 3.38308 3.93094
0.0026878 3.38308 3.93094
0.00270188 3.38308 3.93094
0.00271604 3.38308 3.93094
0.00273028 3.38308 3.93094
0.00274459 3.38308 3.93094
0.00275897 3.38308 3.93094
0.00277343 3.38308 3.93094
0.00278796 3.38308 3.93094
0.00280258 3.38308 3.93094
0.00281726 3.38308 3.93094
0.00283203 3.38308 3.93094
0.00284687 3.38308 3.93094
0.00286179 3.38308 3.93094
0.00287679 3.38308 3.93094
0.00289187 3.38308 3.93094
0.00290702 3.38308 3.93094
0.00292226 3.38308 3.93094
0.00293757 3.38308 3.93094
0.00295297 3.38308 3.93094
0.00296844 3.38308 3.93094
0.002984 3.38308 3.93094
0.00299964 3.38308 3.93094
0.00301536 3.38308 3.93094
0.00303116 3.38308 3.93094
0.00304705 3.38308 3.93094
0.00306302 3.38308 3.93094
0.00307907 3.38308 3.93094
0.00309521 3.38308 3.93094
0.00311143 3.38308 3.93094
0.00312773 3.38308 3.93094
0.00314413 3.38308 3.93094
0.0031606 3.38308 3.93094
0.00317717 3.38308 3.93094
0.00319382 3.38308 3.93094
0.00321056 3.38308 3.93094
0.00322738 3.38308 3.93094
0.0032443 3.38308 3.93094
0.0032613 3.38308 3.93094
0.00327839 3.38308 3.93094
0.00329557 3.38308 3.93094
0.00331284 3.38308 3.93094
0.00333021 3.38308 3.93094
0.00334766 3.38308 3.93094
0.0033652 3.38308 3.93094
0.00338284 3.38308 3.93094
0.00340057 3.38308 3.93094
0.00341839 3.38308 3.93094
0.00343631 3.38308 3.93094
0.00345431 3.38308 3.93094
0.00347242 3.38308 3.93094
0.00349062 3.38308 3.93094
0.00350891 3.38308 3.93094
0.0035273 3.38308 3.93094
0.00354579 3.38308 3.93094
0.00356437 3.38308 3.93094
0.00358305 3.38308 3.93094
0.00360183 3.38308 3.93094
0.0036207 3.38308 3.93094
0.00363968 3.38308 3.93094
0.00365875 3.38308 3.93094
0.00367793 3.38308 3.93094
0.0036972 3.38308 3.93094
0.00371658 3.38308 3.93094
0.00373606 3.38308 3.93094
0.00375564 3.38308 3.93094
0.00377532 3.38308 3.93094
0.00379511 3.38308 3.93094
0.003815 3.38308 3.93094
0.00383499 3.38308 3.93094
0.00385509 3.38308 3.93094
0.00387529 3.38308 3.93094
0.0038956 3.38308 3.93094
0.00391602 3.38308 3.93094
0.00393654 3.38308 3.93094
0.00395717 3.38308 3.93094
0.00397791 3.38308 3.93094
0.00399876 3.38308 3.93094
0.00401971 3.38308 3.93094
0.00404078 3.38308 3.93094
0.00406196 3.38308 3.93094
0.00408325 3.38308 3.93094
0.00410465 3.38308 3.93094
0.00412616 3.38308 3.93094
0.00414778 3.38308 3.93094
0.00416952 3.38308 3.93094
0.00419137 3.38308 3.93094
0.00421334 3.38308 3.93094
0.00423542 3.38308 3.93094
0.00425762 3.38308 3.93094
0.00427993 3.38308 3.93094
0.00430236 3.38308 3.93094
0.00432491 3.38308 3.93094
0.00434757 3.38308 3.93094
0.00437036 3.38308 3.93094
0.00439326 3.38308 3.93094
0.00441629 3.38308 3.93094
0.00443943 3.38308 3.93094
0.0044627 3.38308 3.93094
0.00448609 3.38308 3.93094
0.0045096 3.38308 3.93094
0.00453323 3.38308 3.93094
0.00455699 3.38308 3.93094
0.00458087 3.38308 3.93094
0.00460488 3.38308 3.93094
0.00462901 3.38308 3.93094
0.00465327 3.38308 3.93094
0.00467766 3.38308 3.93094
0.00470217 3.38308 3.93094
0.00472682 3.38308 3.93094
0.00475159 3.38308 3.93094
0.00477649 3.38308 3.93094
0.00480152 3.38308 3.93094
0.00482669 3.38308 3.93094
0.00485198 3.38308 3.93094
0.00487741 3.38308 3.93094
0.00490297 3.38308 3.93094
