# Temperature_MeV comoving_wavenumber Horizon_mass_solar kappa_QCD gamma_QCD delta_QCD phi_QCD
0.001 8.0264 2.6963e+11 4.20721 0.377779 8089.46 2247.59
0.001003 8.05047 2.68021e+11 4.20721 0.377779 8041.18 2234.17
0.00100601 8.0746 2.66421e+11 4.20721 0.377779 7993.18 2220.84
0.00100902 8.09881 2.64831e+11 4.20721 0.377779 7945.47 2207.59
0.00101205 8.12309 2.6325e+11 4.20721 0.377779 7898.04 2194.41
0.00101508 8.14745 2.61678e+11 4.20721 0.377779 7850.9 2181.32
0.00101812 8.17188 2.60116e+11 4.20721 0.377779 7804.04 2168.3
0.00102118 8.19638 2.58563e+11 4.20721 0.377779 7757.45 2155.36
0.00102424 8.22095 2.5702e+11 4.20721 0.377779 7711.15 2142.5
0.00102731 8.2456 2.55486e+11 4.20721 0.377779 7665.12 2129.71
0.00103039 8.27032 2.53961e+11 4.20721 0.377779 7619.37 2117
0.00103348 8.29511 2.52445e+11 4.20721 0.377779 7573.89 2104.37
0.00103658 8.31998 2.50938e+11 4.20721 0.377779 7528.68 2091.81
0.00103968 8.34493 2.4944e+11 4.20721 0.377779 7483.74 2079.33
0.0010428 8.36995 2.47951e+11 4.20721 0.377779 7439.07 2066.92
0.00104593 8.39504 2.4647e+11 4.20721 0.377779 7394.67 2054.59
0.00104906 8.42021 2.44999e+11 4.20721 0.377779 7350.53 2042.33
0.00105221 8.44546 2.43537e+11 4.20721 0.377779 7306.65 2030.14
0.00105536 8.47078 2.42083e+11 4.20721 0.377779 7263.04 2018.02
0.00105853 8.49617 2.40638e+11 4.20721 0.377779 7219.69 2005.98
0.0010617 8.52165 2.39201e+11 4.20721 0.377779 7176.59 1994.01
0.00106489 8.5472 2.37773e+11 4.20721 0.377779 7133.76 1982.11
0.00106808 8.57282 2.36354e+11 4.20721 0.377779 7091.18 1970.28
0.00107128 8.59853 2.34943e+11 4.20721 0.377779 7048.85 1958.53
0.00107449 8.6243 2.33541e+11 4.20721 0.377779 7006.77 1946.84
0.00107771 8.65016 2.32147e+11 4.20721 0.377779 6964.95 1935.22
0.00108094 8.6761 2.30761e+11 4.20721 0.377779 6923.38 1923.67
0.00108419 8.70211 2.29383e+11 4.20721 0.377779 6882.05 1912.19
0.00108744 8.7282 2.28014e+11 4.20721 0.377779 6840.97 1900.78
0.0010907 8.75437 2.26653e+11 4.20721 0.377779 6800.14 1889.44
0.00109397 8.78061 2.253e+11 4.20721 0.377779 6759.55 1878.17
0.00109725 8.80694 2.23955e+11 4.20721 0.377779 6719.2 1866.96
0.00110054 8.83334 2.22618e+11 4.20721 0.377779 6679.1 1855.82
0.00110384 8.85983 2.21289e+11 4.20721 0.377779 6639.23 1844.74
0.00110714 8.88639 2.19968e+11 4.20721 0.377779 6599.6 1833.74
0.00111046 8.91303 2.18655e+11 4.20721 0.377779 6560.21 1822.79
0.00111379 8.93976 2.1735e+11 4.20721 0.377779 6521.05 1811.92
0.00111713 8.96656 2.16052e+11 4.20721 0.377779 6482.13 1801.1
0.00112048 8.99344 2.14763e+11 4.20721 0.377779 6443.44 1790.36
0.00112384 9.02041 2.13481e+11 4.20721 0.377779 6404.98 1779.67
0.00112721 9.04745 2.12206e+11 4.20721 0.377779 6366.74 1769.05
0.00113059 9.07458 2.1094e+11 4.20721 0.377779 6328.74 1758.5
0.00113398 9.10178 2.0968e+11 4.20721 0.377779 6290.97 1748
0.00113738 9.12907 2.08429e+11 4.20721 0.377779 6253.42 1737.57
0.00114079 9.15644 2.07185e+11 4.20721 0.377779 6216.09 1727.2
0.00114421 9.18389 2.05948e+11 4.20721 0.377779 6178.99 1716.9
0.00114764 9.21143 2.04718e+11 4.20721 0.377779 6142.11 1706.65
0.00115108 9.23905 2.03496e+11 4.20721 0.377779 6105.44 1696.47
0.00115453 9.26675 2.02282e+11 4.20721 0.377779 6069 1686.35
0.00115799 9.29453 2.01074e+11 4.20721 0.377779 6032.78 1676.28
0.00116147 9.32239 1.99874e+11 4.20721 0.377779 5996.77 1666.28
0.00116495 9.35034 1.98681e+11 4.20721 0.377779 5960.97 1656.34
0.00116844 9.37838 1.97495e+11 4.20721 0.377779 5925.39 1646.46
0.00117194 9.4065 1.96316e+11 4.20721 0.377779 5890.02 1636.63
0.00117546 9.4347 1.95144e+11 4.20721 0.377779 5854.87 1626.86
0.00117898 9.46298 1.93979e+11 4.20721 0.377779 5819.92 1617.16
